"city","state","slug","growth","densityMi","areaMi","lng","lat","population","pop2026","pop2025","pop2020","pop2010","type","rank"
"New York","New York","new-york/new-york",-0.00765,27778,300.483,-73.9387,40.6627,8346955,8346955,8412513,8740306,8175133,"City",1
"Los Angeles","California","california/los-angeles",-0.00113,8225,470.518,-118.411,34.0194,3869891,3869891,3874297,3896329,3792621,"City",2
"Chicago","Illinois","illinois/chicago",-0.00219,11896,227.748,-87.6849,41.837,2709364,2709364,2715336,2745196,2695598,"City",3
"Houston","Texas","texas/houston",0.00968,3801,640.819,-95.3888,29.7857,2435715,2435715,2412920,2298945,2099451,"City",4
"Phoenix","Arizona","arizona/phoenix",0.00918,3286,518.331,-112.09,33.5722,1703449,1703449,1688306,1612593,1445632,"City",5
"San Antonio","Texas","texas/san-antonio",0.01462,3147,498.922,-98.5246,29.4628,1570314,1570314,1548485,1439340,1327407,"City",6
"Philadelphia","Pennsylvania","pennsylvania/philadelphia",-0.00424,11617,134.325,-75.1333,40.0094,1560480,1560480,1567198,1600788,1526006,"City",7
"San Diego","California","california/san-diego",0.00351,4338,326.028,-117.121,32.8304,1414266,1414266,1409359,1384824,1307402,"City",8
"Dallas","Texas","texas/dallas",0.0043,3937,339.676,-96.7665,32.7933,1337417,1337417,1331752,1303426,1197816,"City",9
"Fort Worth","Texas","texas/fort-worth",0.02165,2984,352.011,-97.3486,32.782,1050336,1050336,1029221,923645,741206,"City",10
"Jacksonville","Florida","florida/jacksonville",0.01466,1390,747.261,-81.6616,30.3369,1038787,1038787,1024310,951925,821784,"City",11
"Austin","Texas","texas/austin",0.00704,3100,325.013,-97.7541,30.2986,1007435,1007435,1000511,965893,790390,"City",12
"San Jose","California","california/san-jose",-0.00307,5570,177.939,-121.815,37.296,991209,991209,994288,1009686,945942,"City",13
"Charlotte","North Carolina","north-carolina/charlotte",0.01869,3133,312.099,-80.831,35.209,977740,977740,960608,874948,731424,"City",14
"Columbus","Ohio","ohio/columbus",0.00726,4266,221.93,-82.9856,39.9855,946661,946661,939962,906466,787033,"City",15
"Indianapolis","Indiana","indiana/indianapolis",0.0012,2475,361.017,-86.1459,39.7767,893619,893619,892551,887213,820445,"Township",16
"San Francisco","California","california/san-francisco",-0.014,17214,46.7,-123.032,37.7272,803876,803876,815701,874826,805235,"City",17
"Seattle","Washington","washington/seattle",0.01319,9538,84,-122.352,47.6193,801192,801192,791093,740600,608660,"City",18
"Hempstead","New York","new-york/hempstead",0.00217,6757,118.514,-73.6091,40.634,800777,800777,796559,790424,759757,"Town",19
"Denver","Colorado","colorado/denver",0.00393,4800,153.074,-104.881,39.7618,734718,734718,731868,717620,600158,"City",20
"Oklahoma City","Oklahoma","oklahoma/oklahoma-city",0.01063,1199,606.998,-97.5137,35.4671,727836,727836,720377,683084,579999,"City",21
"Washington","District of Columbia","district-of-columbia/washington",0.01135,11745,61.126,-77.0165,38.9042,717916,717916,710083,670917,601723,"City",22
"Nashville","Tennessee","tennessee/nashville",0.00545,1498,475.566,-86.785,36.1718,712581,712581,708772,689726,601222,"Township",23
"Las Vegas","Nevada","nevada/las-vegas",0.01168,4896,141.862,-115.264,36.2335,694501,694501,686711,647763,583756,"City",24
"Boston","Massachusetts","massachusetts/boston",0.00382,14298,48.34,-71.0182,42.3386,691168,691168,682313,675522,617594,"City",25
"El Paso","Texas","texas/el-paso",0.00086,2639,258.788,-106.431,31.8478,682893,682893,682308,679382,649121,"City",26
"Detroit","Michigan","michigan/detroit",0.00285,4681,138.735,-83.1022,42.383,649374,649374,647539,638367,713777,"City",27
"Louisville","Kentucky","kentucky/louisville",0.00351,2455,262.836,-85.6474,38.1654,645270,645270,643033,631847,597337,"Township",28
"Portland","Oregon","oregon/portland",-0.00678,4697,133.488,-122.65,45.5369,627040,627040,631394,653166,583776,"City",29
"Memphis","Tennessee","tennessee/memphis",-0.00707,2078,289.758,-89.9685,35.1092,602184,602184,606551,628388,646889,"City",30
"Baltimore","Maryland","maryland/baltimore",-0.0065,6928,80.946,-76.6105,39.3,560812,560812,564541,583189,620961,"City",31
"Tucson","Arizona","arizona/tucson",0.00517,2304,242.884,-110.871,32.153,559695,559695,556854,542649,520116,"City",32
"Albuquerque","New Mexico","new-mexico/albuquerque",-0.00203,2980,187.266,-106.647,35.1048,558046,558046,559186,564885,545852,"City",33
"Milwaukee","Wisconsin","wisconsin/milwaukee",-0.00599,5789,96.173,-87.9667,43.0633,556718,556718,560124,577157,594833,"City",34
"Fresno","California","california/fresno",0.00338,4782,115.818,-119.793,36.7827,553800,553800,551952,542714,494665,"City",35
"Sacramento","California","california/sacramento",0.0048,5483,98.646,-121.468,38.5677,540907,540907,538352,525579,466488,"City",36
"Atlanta","Georgia","georgia/atlanta",0.00979,3919,135.253,-84.4227,33.7629,530106,530106,525088,499998,420003,"City",37
"Mesa","Arizona","arizona/mesa",0.00546,3682,141.961,-111.716,33.3994,522751,522751,519951,505950,439041,"City",38
"Kansas City","Missouri","missouri/kansas-city",0.00387,1653,314.515,-94.5503,39.1252,520000,520000,518016,508096,459787,"City",39
"Raleigh","North Carolina","north-carolina/raleigh",0.01745,3394,152.263,-78.641,35.8319,516807,516807,508316,465861,403892,"City",40
"Miami","Florida","florida/miami",0.02352,14143,35.996,-80.2086,25.7752,509107,509107,498060,442828,399457,"City",41
"Colorado Springs","Colorado","colorado/colorado-springs",0.00605,2470,202.23,-104.761,38.8673,499474,499474,496514,481713,416427,"City",42
"Brookhaven","New York","new-york/brookhaven",0.0044,1916,259.645,-72.9598,40.8574,497541,497541,495150,484592,486040,"Town",43
"Omaha","Nebraska","nebraska/omaha",-0.00179,3410,142.98,-96.0535,41.2627,487506,487506,488385,492783,408958,"City",44
"Virginia Beach","Virginia","virginia/virginia-beach",-0.00266,1849,244.719,-76.0291,36.7795,452375,452375,453591,459673,437994,"City",45
"Oakland","California","california/oakland",0.00145,7949,55.963,-122.226,37.7698,444839,444839,444196,440983,390724,"City",46
"Long Beach","California","california/long-beach",-0.00805,8753,50.672,-118.168,33.7808,443555,443555,447228,465593,462257,"City",47
"Tampa","Florida","florida/tampa",0.01606,3734,114.487,-82.4797,27.9701,427538,427538,421042,388564,335709,"City",48
"Minneapolis","Minnesota","minnesota/minneapolis",-0.00126,7917,54,-93.2683,44.9633,427499,427499,428039,430738,382578,"City",49
"Bakersfield","California","california/bakersfield",0.00742,2816,150.434,-119.038,35.3532,423592,423592,420530,405220,347483,"City",50
"Tulsa","Oklahoma","oklahoma/tulsa",0.0009,2103,197.765,-95.9023,36.1279,415899,415899,415526,413663,391906,"City",51
"Aurora","Colorado","colorado/aurora",0.01028,2506,164.122,-104.721,39.7095,411293,411293,407211,386804,325078,"City",52
"Arlington","Texas","texas/arlington",0.00581,4260,95.842,-97.1247,32.7007,408318,408318,405995,394380,365438,"City",53
"Wichita","Kansas","kansas/wichita",0.00183,2438,165.074,-97.3458,37.6906,402453,402453,401722,398067,382368,"City",54
"Henderson","Nevada","nevada/henderson",0.02323,3023,120.993,-115.027,36.009,365728,365728,357883,318660,257729,"City",55
"Cleveland","Ohio","ohio/cleveland",-0.0044,4659,77.735,-81.6794,41.4785,362142,362142,363760,371853,396815,"City",56
"New Orleans","Louisiana","louisiana/new-orleans",-0.01396,2079,169.5,-89.9345,30.0534,352364,352364,357532,383374,343829,"City",57
"Orlando","Florida","florida/orlando",0.0208,2688,129.601,-81.3202,28.4728,348347,348347,341600,307868,238300,"City",58
"Anaheim","California","california/anaheim",-0.00152,6832,50.283,-117.759,33.8555,343509,343509,344035,346665,336265,"City",59
"Urban Honolulu","Hawaii","hawaii/honolulu",-0.00251,5662,60.622,-157.848,21.3243,343229,343229,344098,348442,337256,"CDP",60
"Islip","New York","new-york/islip",0.00114,3308,103.199,-73.1952,40.715,341430,341430,340300,339101,335543,"Town",61
"Newark","New Jersey","new-jersey/newark",0.01187,13811,24.144,-74.1726,40.7242,333459,333459,325381,310665,277140,"City",62
"Lexington","Kentucky","kentucky/lexington",0.00521,1173,283.855,-84.4583,38.0407,332841,332841,331139,322628,295803,"Urban County",63
"Riverside","California","california/riverside",0.00641,4040,81.149,-117.393,33.9381,327868,327868,325812,315534,303871,"City",64
"Stockton","California","california/stockton",0.00309,5166,63.296,-121.309,37.9766,326977,326977,325976,320971,291707,"City",65
"Irvine","California","california/irvine",0.00813,4935,65.613,-117.771,33.6784,323799,323799,321241,308450,212375,"City",66
"Santa Ana","California","california/santa-ana",0.00394,11640,27.376,-117.883,33.7363,318663,318663,317423,311226,324528,"City",67
"Cincinnati","Ohio","ohio/cincinnati",0.00424,4076,77.914,-84.5058,39.1402,317570,317570,316242,309604,296943,"City",68
"Corpus Christi","Texas","texas/corpus-christi",-0.00076,1889,167.769,-97.1734,27.7543,316833,316833,317075,318285,305215,"City",69
"Greensboro","North Carolina","north-carolina/greensboro",0.0095,2324,134.744,-79.8236,36.0948,313135,313135,310258,295873,269666,"City",70
"Jersey City","New Jersey","new-jersey/jersey-city",0.01115,21158,14.748,-74.0648,40.7114,312042,312042,307433,291960,247597,"City",71
"Durham","North Carolina","north-carolina/durham",0.01717,2601,119.945,-78.8981,35.9779,311965,311965,306917,281679,228330,"City",72
"North Las Vegas","Nevada","nevada/north-las-vegas",0.02923,2948,105.319,-115.089,36.2899,310464,310464,302249,261173,216961,"City",73
"Pittsburgh","Pennsylvania","pennsylvania/pittsburgh",0.00398,5600,55.378,-79.9757,40.4399,310103,310103,308885,302798,305704,"City",74
"St. Paul","Minnesota","minnesota/st-paul",-0.00296,5881,51.973,-93.1041,44.9489,305634,305634,306549,311127,285068,"City",75
"Lincoln","Nebraska","nebraska/lincoln",0.00739,2975,102.54,-96.6749,40.8103,305010,305010,302814,291837,258379,"City",76
"Oyster Bay","New York","new-york/oyster-bay",0.00044,2906,103.61,-73.5106,40.8005,301088,301088,300314,300294,293214,"Town",77
"Gilbert","Arizona","arizona/gilbert",0.01721,4347,68.663,-111.743,33.3103,298470,298470,293630,269429,208453,"Town",78
"Plano","Texas","texas/plano",0.0059,4138,71.699,-96.7479,33.0508,296718,296718,295002,286422,259841,"City",79
"Madison","Wisconsin","wisconsin/madison",0.00926,3450,84.215,-89.4299,43.0878,290508,290508,287904,274884,233209,"City",80
"Reno","Nevada","nevada/reno",0.01519,2654,109.298,-119.85,39.5491,290076,290076,285895,264990,225221,"City",81
"Anchorage","Alaska","alaska/anchorage",-0.00112,169,1706.8,-149.284,61.1743,288947,288947,289273,290905,291826,"Township",82
"Port St. Lucie","Florida","florida/port-st-lucie",0.05455,2386,119.216,-80.3883,27.2806,284448,284448,271511,206828,164603,"City",83
"Chandler","Arizona","arizona/chandler",0.0034,4313,65.639,-111.852,33.2828,283132,283132,282181,277429,236123,"City",84
"Chula Vista","California","california/chula-vista",0.00247,5639,49.638,-117.015,32.6277,279915,279915,279230,275808,243916,"City",85
"Lubbock","Texas","texas/lubbock",0.01316,1949,143.204,-101.889,33.5619,279104,279104,275595,258050,229573,"City",86
"Fort Wayne","Indiana","indiana/fort-wayne",0.00816,2484,111.76,-85.1428,41.0882,277607,277607,275405,264394,253691,"City",87
"Buffalo","New York","new-york/buffalo",-0.00085,6839,40.379,-78.8597,42.8925,276146,276146,276381,277558,261310,"City",88
"St. Petersburg","Florida","florida/st-petersburg",0.00741,4385,61.804,-82.6441,27.7627,271017,271017,269059,259271,244769,"City",89
"St. Louis","Missouri","missouri/st-louis",-0.01795,4365,61.72,-90.2446,38.6357,269385,269385,274540,300315,319294,"City",90
"Laredo","Texas","texas/laredo",0.00556,2421,109.093,-99.4892,27.5604,264142,264142,262701,255495,236091,"City",91
"Toledo","Ohio","ohio/toledo",-0.00435,3271,80.488,-83.5819,41.6641,263314,263314,264476,270285,287208,"City",92
"Glendale","Arizona","arizona/glendale",0.00904,3914,67.126,-112.19,33.5331,262745,262745,260444,248938,226721,"City",93
"Enterprise","Nevada","nevada/enterprise",0,3948,65.999,-115.228,36.0091,260557,260557,251053,0,108481,"CDP",94
"Winston-Salem","North Carolina","north-carolina/winston-salem",0.00645,1939,133.584,-80.2608,36.1029,259038,259038,257403,249231,229617,"City",95
"Irving","Texas","texas/irving",0.00112,3861,66.979,-96.97,32.8577,258636,258636,258348,256907,216290,"City",96
"Chesapeake","Virginia","virginia/chesapeake",0.00521,761,338.456,-76.3018,36.6794,257632,257632,256314,249726,222209,"City",97
"Garland","Texas","texas/garland",0.00406,4440,56.857,-96.6303,32.9098,252450,252450,251440,246392,226876,"City",98
"Cape Coral","Florida","florida/cape-coral",0.04315,2373,106.123,-81.9974,26.6432,251819,251819,242422,195436,154305,"City",99
"Frisco","Texas","texas/frisco",0.0365,3666,68.587,-96.8226,33.1554,251430,251430,243319,202764,116989,"City",100
"Scottsdale","Arizona","arizona/scottsdale",0.0044,1350,184.003,-111.861,33.6843,248321,248321,247245,241868,217385,"City",101
"McKinney","Texas","texas/mckinney",0.03482,3531,68.69,-96.6642,33.2011,242534,242534,235030,197510,131117,"City",102
"Arlington","Virginia","virginia/arlington",0,9304,25.997,-77.1007,38.8783,241887,241887,239745,0,207627,"CDP",103
"Hialeah","Florida","florida/hialeah",0.01407,11208,21.581,-80.3029,25.8699,241873,241873,238630,222418,224669,"City",104
"North Hempstead","New York","new-york/north-hempstead",0.00227,4484,53.543,-73.6784,40.8034,240082,240082,238887,236834,226322,"Town",105
"Boise City","Idaho","idaho/boise",0.00202,2775,86.101,-116.232,43.598,238923,238923,238443,236043,205671,"City",106
"Huntsville","Alabama","alabama/huntsville",0.01558,1054,225.326,-86.6767,34.6977,237413,237413,233907,216379,180105,"City",107
"Richmond","Virginia","virginia/richmond",0.00728,3955,59.925,-77.476,37.5314,237021,237021,235338,226923,204214,"City",108
"Tacoma","Washington","washington/tacoma",0.00939,4675,49.714,-122.46,47.2522,232425,232425,230313,219756,198397,"City",109
"Spokane","Washington","washington/spokane",0.00153,3364,68.76,-117.433,47.6669,231311,231311,230960,229205,208916,"City",110
"Spring Valley","Nevada","nevada/spring-valley",0,6464,35.505,-115.264,36.0952,229494,229494,226300,0,178395,"CDP",111
"Norfolk","Virginia","virginia/norfolk",-0.00718,4275,53.275,-76.2446,36.923,227751,227751,229428,237813,242803,"City",112
"Santa Clarita","California","california/santa-clarita",-0.00354,3091,73.614,-118.501,34.4165,227527,227527,228343,232422,176320,"City",113
"Fremont","California","california/fremont",-0.00246,2907,78.103,-121.941,37.4945,227065,227065,227628,230445,214089,"City",114
"Salt Lake City","Utah","utah/salt-lake-city",0.02027,2041,110.891,-111.931,40.7769,226341,226341,222062,200666,186440,"City",115
"San Bernardino","California","california/san-bernardino",0.00297,3641,62.1,-117.295,34.1411,226103,226103,225439,222119,209924,"City",116
"Fontana","California","california/fontana",0.01078,5155,43.278,-117.463,34.1097,223089,223089,220772,209186,196069,"City",117
"Modesto","California","california/modesto",0.00213,5109,43.358,-121.003,37.6375,221529,221529,221060,218717,201165,"City",118
"Babylon","New York","new-york/babylon",0.00182,4209,52.277,-73.3167,40.6409,220044,220044,219305,217662,213603,"Town",119
"Baton Rouge","Louisiana","louisiana/baton-rouge",-0.00602,2526,86.392,-91.1309,30.4422,218223,218223,219565,226275,229493,"City",120
"Sioux Falls","South Dakota","south-dakota/sioux-falls",0.0195,2569,84.546,-96.732,43.5407,217209,217209,213249,193448,153888,"City",121
"Moreno Valley","California","california/moreno-valley",0.00596,4218,51.31,-117.206,33.9233,216447,216447,215183,208862,193365,"City",122
"Worcester","Massachusetts","massachusetts/worcester",0.01039,5766,37.36,-71.8078,42.2695,215436,215436,213361,202475,181045,"City",123
"Grand Prairie","Texas","texas/grand-prairie",0.0137,2784,76.474,-97.0207,32.6789,212896,212896,210113,196201,175396,"City",124
"Des Moines","Iowa","iowa/des-moines",-0.00079,2413,88.162,-93.6102,41.5726,212759,212759,212927,213769,203433,"City",125
"Yonkers","New York","new-york/yonkers",0.00005,11722,18.006,-73.8674,40.9459,211062,211062,211051,210995,195976,"City",126
"Fayetteville","North Carolina","north-carolina/fayetteville",-0.00166,1408,148.266,-78.9735,35.0828,208797,208797,209146,210894,200564,"City",127
"Tallahassee","Florida","florida/tallahassee",0.00884,2037,102.428,-84.2523,30.4535,208666,208666,206877,197934,181376,"City",128
"Huntington","New York","new-york/huntington",0.00257,2199,94.039,-73.3768,40.8841,206780,206780,205743,203614,203264,"Town",129
"Little Rock","Arkansas","arkansas/little-rock",0.00266,1698,121.243,-92.3586,34.7254,205857,205857,205315,202607,193524,"City",130
"Rochester","New York","new-york/rochester",-0.00433,5746,35.761,-77.6169,43.1699,205477,205477,206379,210892,210565,"City",131
"Overland Park","Kansas","kansas/overland-park",0.00627,2731,75.218,-94.6906,38.889,205413,205413,204153,197852,173372,"City",132
"Amarillo","Texas","texas/amarillo",0.0039,1935,106.09,-101.83,35.1999,205310,205310,204519,200567,190695,"City",133
"Peoria","Arizona","arizona/peoria",0.01007,1154,176.697,-112.308,33.7862,203891,203891,201907,191989,154065,"City",134
"Vancouver","Washington","washington/vancouver",0.00983,4161,48.748,-122.597,45.6372,202846,202846,200919,191284,161791,"City",135
"Knoxville","Tennessee","tennessee/knoxville",0.00957,2051,98.732,-83.9493,35.9707,202469,202469,200595,191227,178874,"City",136
"Augusta","Georgia","georgia/augusta",-0.00036,667,302.282,-82.0734,33.3655,201590,201590,201663,202031,195844,"Township",137
"Sunrise Manor","Nevada","nevada/sunrise-manor",0,5972,33.713,-115.049,36.1783,201344,201344,200595,0,189372,"CDP",138
"Grand Rapids","Michigan","michigan/grand-rapids",0.00173,4485,44.776,-85.6556,42.9612,200808,200808,200462,198735,188040,"City",139
"Oxnard","California","california/oxnard",-0.00161,7533,26.545,-119.208,34.1994,199970,199970,200293,201908,197899,"City",140
"Columbus","Georgia","georgia/columbus",-0.00636,920,216.5,-84.8749,32.5102,199237,199237,200533,207015,189885,"City",141
"Mobile","Alabama","alabama/mobile",-0.0063,1318,150.838,-88.1079,30.6682,198806,198806,200086,206488,195111,"City",142
"Providence","Rhode Island","rhode-island/providence",0.00505,10684,18.406,-71.4188,41.8231,196657,196657,195681,190803,178042,"City",143
"Chattanooga","Tennessee","tennessee/chattanooga",0.01227,1378,142.352,-85.2484,35.066,196108,196108,193802,182271,167674,"City",144
"Clarksville","Tennessee","tennessee/clarksville",0.02542,1945,100.144,-87.3452,36.5664,194768,194768,190229,167533,132929,"City",145
"Brownsville","Texas","texas/brownsville",0.007,1595,122.012,-97.4806,25.9894,194626,194626,193296,186648,175023,"City",146
"Fort Lauderdale","Florida","florida/fort-lauderdale",0.01049,5627,34.582,-80.1467,26.1412,194579,194579,192610,182765,165521,"City",147
"Birmingham","Alabama","alabama/birmingham",-0.00495,1322,147.07,-86.797,33.5272,194400,194400,195378,200270,212237,"City",148
"Montgomery","Alabama","alabama/montgomery",-0.00536,1212,159.857,-86.2673,32.3485,193703,193703,194760,200048,205764,"City",149
"Tempe","Arizona","arizona/tempe",0.00637,4815,39.981,-111.932,33.3884,192514,192514,191314,185313,161719,"City",150
"Huntington Beach","California","california/huntington-beach",-0.00675,6982,27.287,-118.004,33.698,190515,190515,191833,198422,189992,"City",151
"Ontario","California","california/ontario",0.01316,3803,49.984,-117.606,34.037,190066,190066,187675,175723,163924,"City",152
"Akron","Ohio","ohio/akron",-0.00063,3059,61.933,-81.5214,41.0805,189423,189423,189543,190146,199110,"City",153
"Cary","North Carolina","north-carolina/cary",0.01093,3054,61.091,-78.8234,35.7813,186587,186587,184623,174803,135234,"Town",154
"Elk Grove","California","california/elk-grove",0.00862,4364,42.601,-121.385,38.4146,185906,185906,184351,176579,153015,"City",155
"Glendale","California","california/glendale",-0.01064,6029,30.479,-118.246,34.1814,183761,183761,185792,195947,191719,"City",156
"Pembroke Pines","Florida","florida/pembroke-pines",0.01169,5613,32.681,-80.3402,26.0147,183446,183446,181386,171086,154750,"City",157
"Salem","Oregon","oregon/salem",0.00619,3732,48.931,-123.023,44.9239,182620,182620,181513,175977,154637,"City",158
"Newport News","Virginia","virginia/newport-news",-0.00407,2631,68.996,-76.522,37.0761,181558,181558,182307,186052,180719,"City",159
"Aurora","Illinois","illinois/aurora",0.00062,3999,45.247,-88.2901,41.7635,180935,180935,180822,180260,197899,"City",160
"Surprise","Arizona","arizona/surprise",0.0366,1621,110.505,-112.453,33.6708,179149,179149,173356,144393,117517,"City",161
"Eugene","Oregon","oregon/eugene",0.00049,4004,44.696,-123.119,44.0568,178961,178961,178873,178436,156185,"City",162
"Denton","Texas","texas/denton",0.03987,1841,96.922,-97.1413,33.2174,178433,178433,172215,141128,113383,"City",163
"Rancho Cucamonga","California","california/rancho-cucamonga",0.00284,3820,46.51,-117.566,34.1303,177673,177673,177174,174678,165269,"City",164
"Paradise","Nevada","nevada/paradise",0,4189,42.404,-115.136,36.0871,177642,177642,180487,0,223167,"CDP",165
"Santa Rosa","California","california/santa-rosa",-0.00063,4168,42.536,-122.706,38.4458,177300,177300,177412,177972,167815,"City",166
"Murfreesboro","Tennessee","tennessee/murfreesboro",0.02239,2711,64.798,-86.4212,35.8539,175672,175672,172029,153816,108755,"City",167
"Garden Grove","California","california/garden-grove",0.00072,9614,17.953,-117.96,33.7788,172608,172608,172484,171866,170883,"City",168
"Shreveport","Louisiana","louisiana/shreveport",-0.01417,1586,108.145,-93.7922,32.4669,171469,171469,174023,186796,199311,"City",169
"Fort Collins","Colorado","colorado/fort-collins",0.00137,2995,57.234,-105.065,40.5482,171391,171391,171157,169990,143986,"City",170
"Springfield","Missouri","missouri/springfield",0.00211,2059,83.206,-93.2926,37.1942,171315,171315,170955,169158,159498,"City",171
"Roseville","California","california/roseville",0.02347,3872,44.087,-121.32,38.7703,170696,170696,167000,148520,118788,"City",172
"Oceanside","California","california/oceanside",-0.00455,4104,41.268,-117.306,33.2246,169376,169376,170158,174071,167086,"City",173
"Lancaster","California","california/lancaster",-0.0085,1745,94.282,-118.175,34.6936,164543,164543,165984,173192,156633,"City",174
"Paterson","New Jersey","new-jersey/paterson",0.00515,19531,8.413,-74.1628,40.9148,164315,164315,162389,159328,146199,"City",175
"Killeen","Texas","texas/killeen",0.01085,3003,54.628,-97.7319,31.0777,164045,164045,162330,153758,127921,"City",176
"Corona","California","california/corona",0.00655,4102,39.892,-117.565,33.862,163635,163635,162587,157349,152374,"City",177
"Ramapo","New York","new-york/ramapo",0.01482,2655,61.187,-74.105,41.1408,162422,162422,159598,148697,126595,"Town",178
"Hollywood","Florida","florida/hollywood",0.00998,5952,27.251,-80.1646,26.031,162199,162199,160636,152820,140768,"City",179
"Charleston","South Carolina","south-carolina/charleston",0.01064,1396,115.292,-79.9729,32.828,160965,160965,159315,151065,120083,"City",180
"Salinas","California","california/salinas",-0.00403,6782,23.515,-121.634,36.6902,159478,159478,160130,163393,150441,"City",181
"Palmdale","California","california/palmdale",-0.00966,1502,106.064,-118.105,34.591,159350,159350,160943,168907,152750,"City",182
"Alexandria","Virginia","virginia/alexandria",-0.00007,10652,14.935,-77.0837,38.8193,159081,159081,159091,159144,139966,"City",183
"Sunnyvale","California","california/sunnyvale",0.00245,7142,22.06,-122.026,37.3858,157557,157557,157174,155261,140081,"City",184
"Lakewood","Colorado","colorado/lakewood",0.00094,3616,43.458,-105.118,39.6989,157161,157161,157014,156281,142980,"City",185
"Macon-Bibb County","Georgia","georgia/macon-bibb-county",0.00003,630,249.383,-83.6942,32.8088,157065,157065,157060,157038,0,"Township",186
"Kansas City","Kansas","kansas/kansas-city",0.00072,1258,124.737,-94.7418,39.1225,156977,156977,156864,156302,145786,"City",187
"Hayward","California","california/hayward",-0.0067,3411,45.818,-122.104,37.6268,156297,156297,157368,162726,144186,"City",188
